STT,Tên,Repo,Sao,License,Loại license,Mô tả,Nhóm,Kết luận,Lý do (tự động),Độ tin,Link
1,open,sindresorhus/open,3488,MIT,Mở,"Open stuff like URLs, files, executables. Cross-platform.",C,Không đẩy VPS,Thư viện Node mở URL/file (đã kiểm),Cao,https://github.com/sindresorhus/open
2,openclaw,openclaw/openclaw,383583,NOASSERTION,Không rõ,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞,A,Dựng cho CEO,"Trợ lý AI, Docker, 1 user/instance; SoloCEO đã dùng (đã kiểm, MIT)",Cao,https://github.com/openclaw/openclaw
3,OpenHands,OpenHands/OpenHands,81414,NOASSERTION,Không rõ,🙌 OpenHands: AI-Driven Development,A,Dựng cho CEO,"Agent AI viết code, Docker DinD nặng (đã kiểm, MIT)",Cao,https://github.com/OpenHands/OpenHands
4,opencv,opencv/opencv,90021,Apache-2.0,Mở,Open Source Computer Vision Library,C,Không đẩy VPS,Thư viện thị giác máy tính (đã kiểm),Cao,https://github.com/opencv/opencv
5,OpenManus,FoundationAgents/OpenManus,57509,MIT,Mở,"No fortress, purely open ground.  OpenManus is Coming.",B,Lưu ý license,"Framework agent, chạy local, phải tự thêm multi-tenant (đã kiểm, MIT)",Cao,https://github.com/FoundationAgents/OpenManus
6,Open,client69/Open,43,—,Không rõ,Add any kind of open source code or program I will merge it with hacktoberfest-accepted label,C,Không đẩy VPS,Repo rác Hacktoberfest (đã kiểm),Cao,https://github.com/client69/Open
7,OpenCut,OpenCut-app/OpenCut,76291,MIT,Mở,The open-source CapCut alternative,B,Lưu ý license,"Sửa video web, đang viết lại, chưa rõ Docker (đã kiểm, MIT)",Cao,https://github.com/OpenCut-app/OpenCut
8,open-webui,open-webui/open-webui,146094,NOASSERTION,Không rõ,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",B,Lưu ý license,"Chat AI, Docker OK nhưng buộc giữ thương hiệu (đã kiểm)",Cao,https://github.com/open-webui/open-webui
9,OpenBB,OpenBB-finance/OpenBB,70813,NOASSERTION,Không rõ,"Open Data Platform for analysts, quants and AI agents.",A,Dựng cho CEO,"Nền tảng dữ liệu tài chính, Docker, AGPL per-tenant OK (đã kiểm)",Cao,https://github.com/OpenBB-finance/OpenBB
10,opencode,anomalyco/opencode,187828,MIT,Mở,The open source coding agent.,C,Không đẩy VPS,Agent lập trình CLI chạy máy dev (đã kiểm),Cao,https://github.com/anomalyco/opencode
11,OpenAPI-Specification,OAI/OpenAPI-Specification,31098,Apache-2.0,Mở,The OpenAPI Specification Repository,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/OAI/OpenAPI-Specification
12,OpenSpec,Fission-AI/OpenSpec,61736,MIT,Mở,Spec-driven development (SDD) for AI coding assistants.,C,Không đẩy VPS,Thư viện/CLI/công cụ — không phải dịch vụ web,Vừa,https://github.com/Fission-AI/OpenSpec
13,OpenMontage,calesthio/OpenMontage,40447,AGPL-3.0,Copyleft,"World's first open-source, agentic video production system. 12 pipelines, 52 tools, 500+ agent skills. Turn your AI coding assistant into a full video production studio.",A,Dựng cho CEO,"Web-app + copyleft (per-tenant OK, không giấu mã)",Vừa,https://github.com/calesthio/OpenMontage
14,Open,entiretyHQ/Open,103,—,Không rõ,Hypothesis Testing 01 - Straddle,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/entiretyHQ/Open
15,OpenVoice,myshell-ai/OpenVoice,36984,MIT,Mở,Instant voice cloning by MIT and MyShell. Audio foundation model.,?,Cần xem tay,Không đủ tín hiệu để tự phân loại,Thấp,https://github.com/myshell-ai/OpenVoice
16,open-design,nexu-io/open-design,79958,Apache-2.0,Mở,"🎨 The open-source Claude Design alternative. 🖥️ Local-first desktop app. 🖼️ Your coding agent becomes the design engine: prototypes, landing pages, dashboards, slides, images & video — real files, HTM",A,Dựng cho CEO,Web-app + license mở (bán lại thoải mái),Vừa,https://github.com/nexu-io/open-design
